192.168.2.236,172.217.160.202,188239,0,1551924432
192.168.2.106,172.217.26.194,188126,0,1551936458
192.168.2.236,52.218.21.170,91178,443,1551925215
192.168.2.77,151.101.62.110,5126,443,1551926825
52.34.92.178,192.168.2.183,7178,0,1551866348
185.64.189.244,192.168.2.77,0,0,1551893204
192.168.2.62,68.232.34.200,91125,443,1551858961
192.168.2.57,216.58.203.163,7126,80,1551894795
192.168.2.140,40.126.12.35,91219,443,1551907623
192.168.2.114,9.22.97.56,91126,0,1551936458
192.168.2.86,104.111.138.7,7212,80,1551845301
13.126.173.183,192.168.2.104,7178,0,1551850137
216.58.199.174,192.168.2.140,188,0,1551917232
192.168.2.126,35.222.85.5,70,80,1551842848
192.168.2.104,40.126.12.101,91219,443,1551897209
4.2.2.2,192.168.2.51,5,53,1551904434
192.168.2.129,180.179.20.208,70,80,1551917232
192.168.2.195,216.58.197.46,91124,443,1551858961
192.168.2.195,172.217.163.202,91239,0,1551914841
103.243.221.17,192.168.2.106,0,0,1551901198
192.168.2.96,157.240.7.53,91142,0,1551835561
192.168.2.93,52.98.71.210,91219,443,1551933242
192.168.2.106,54.81.58.32,5,0,1551883590
115.112.18.131,192.168.2.87,5212,53,1551931630
192.168.2.183,104.19.196.151,7220,443,1551920437
192.168.2.51,216.58.212.228,7126,80,1551846105
192.168.2.62,239.255.255.250,10,0,1551802284
192.168.2.101,54.163.61.23,91239,5222,1551786046
192.168.2.135,52.114.132.21,91212,443,1551935654
192.168.2.253,74.125.21.94,188239,0,1551892397
192.168.2.253,108.177.122.93,91124,443,1551854140
192.168.2.86,104.84.174.252,91212,443,1551940452
157.240.7.54,192.168.2.102,0,0,1551855732
192.168.2.104,50.7.148.250,5,0,1551832339
192.168.2.104,52.113.67.80,5212,443,1551860555
192.168.2.188,172.217.2.42,188239,0,1551880388
192.168.2.99,23.78.216.203,5,443,1551915633
54.223.23.213,192.168.2.176,0,443,1551896396
192.168.2.105,216.58.211.110,91119,0,1551839614
fe80::c4a0:5d99:dcb7:affc,ff02::000c,12,80,1551938872
